Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
05/14/2022,Hispanic/Latino,Fully Vaccinated,Any,70.7,"37,036",,4,2,NULL
05/21/2022,Hispanic/Latino,Fully Vaccinated,Any,70.7,"37,004",,4,2,NULL
05/28/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,934",,4,2,NULL
06/04/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,937",,4,2,NULL
06/11/2022,Hispanic/Latino,Fully Vaccinated,Any,71,"36,998",,4,2,NULL
06/18/2022,Hispanic/Latino,Fully Vaccinated,Any,71,"36,948",,4,2,NULL
06/25/2022,Hispanic/Latino,Fully Vaccinated,Any,71,"36,978",,4,2,NULL
07/02/2022,Hispanic/Latino,Fully Vaccinated,Any,71,"36,978",,4,2,NULL
07/09/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,966",,4,2,NULL
07/16/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,989",,4,2,NULL
07/23/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"37,043",,4,2,NULL
07/30/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,939",,4,2,NULL
08/06/2022,Hispanic/Latino,Fully Vaccinated,Any,70.7,"36,924",,4,2,NULL
08/13/2022,Hispanic/Latino,Fully Vaccinated,Any,70.6,"36,897",,4,2,NULL
08/20/2022,Hispanic/Latino,Fully Vaccinated,Any,70.6,"36,824",,4,2,NULL
08/27/2022,Hispanic/Latino,Fully Vaccinated,Any,70.7,"36,754",,4,2,NULL
09/03/2022,Hispanic/Latino,Fully Vaccinated,Any,70.7,"36,626",,4,2,NULL
09/10/2022,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,425",,4,2,NULL
09/17/2022,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,337",,4,2,NULL
09/24/2022,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,279",,4,2,NULL
10/01/2022,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,176",,4,2,NULL
10/08/2022,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,216",,4,2,NULL
10/15/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,225",,4,2,NULL
10/22/2022,Hispanic/Latino,Fully Vaccinated,Any,71.2,"36,283",,4,2,NULL
10/29/2022,Hispanic/Latino,Fully Vaccinated,Any,71.1,"36,304",,4,2,NULL
11/05/2022,Hispanic/Latino,Fully Vaccinated,Any,71.1,"36,342",,4,2,NULL
11/12/2022,Hispanic/Latino,Fully Vaccinated,Any,71.1,"36,388",,4,2,NULL
11/19/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,456",,4,2,NULL
11/26/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,364",,4,2,NULL
12/03/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,390",,4,2,NULL
12/10/2022,Hispanic/Latino,Fully Vaccinated,Any,71,"36,221",,4,2,NULL
12/17/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,253",,4,2,NULL
12/24/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,285",,4,2,NULL
12/31/2022,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,296",,4,2,NULL
01/07/2023,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,389",,4,2,NULL
01/14/2023,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,356",,4,2,NULL
01/21/2023,Hispanic/Latino,Fully Vaccinated,Any,70.8,"36,236",,4,2,NULL
01/28/2023,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,195",,4,2,NULL
02/04/2023,Hispanic/Latino,Fully Vaccinated,Any,70.9,"36,068",,4,2,NULL
04/22/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"89,003",,1,2,NULL
04/29/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.7,"86,174",,1,2,NULL
05/06/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"83,188",,1,2,NULL
05/13/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"79,925",,1,2,NULL
05/20/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"76,756",,1,2,NULL
05/27/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"73,590",,1,2,NULL
06/03/2023,All Races/Ethnicity,Fully Vaccinated,Any,71.6,"70,671",,1,2,NULL
01/02/2021,"Asian, NH",Fully Vaccinated,Any,0,"15,669",,2,2,NULL
01/09/2021,"Asian, NH",Fully Vaccinated,Any,0.5,"15,698",,2,2,NULL
01/16/2021,"Asian, NH",Fully Vaccinated,Any,1.5,"15,757",,2,2,NULL
01/23/2021,"Asian, NH",Fully Vaccinated,Any,2.4,"15,820",,2,2,NULL
01/30/2021,"Asian, NH",Fully Vaccinated,Any,3.7,"15,825",,2,2,NULL
02/06/2021,"Asian, NH",Fully Vaccinated,Any,5.4,"15,863",,2,2,NULL
02/13/2021,"Asian, NH",Fully Vaccinated,Any,7.3,"15,842",,2,2,NULL
02/20/2021,"Asian, NH",Fully Vaccinated,Any,8.6,"15,849",,2,2,NULL
02/27/2021,"Asian, NH",Fully Vaccinated,Any,9.5,"15,930",,2,2,NULL
03/06/2021,"Asian, NH",Fully Vaccinated,Any,10.6,"15,983",,2,2,NULL
03/13/2021,"Asian, NH",Fully Vaccinated,Any,12,"15,992",,2,2,NULL
03/20/2021,"Asian, NH",Fully Vaccinated,Any,13.9,"16,043",,2,2,NULL
03/27/2021,"Asian, NH",Fully Vaccinated,Any,16.3,"16,091",,2,2,NULL
04/03/2021,"Asian, NH",Fully Vaccinated,Any,18.8,"16,082",,2,2,NULL
04/10/2021,"Asian, NH",Fully Vaccinated,Any,22.7,"16,043",,2,2,NULL
04/17/2021,"Asian, NH",Fully Vaccinated,Any,27,"16,027",,2,2,NULL
04/24/2021,"Asian, NH",Fully Vaccinated,Any,32,"15,993",,2,2,NULL
05/01/2021,"Asian, NH",Fully Vaccinated,Any,37.1,"15,965",,2,2,NULL
05/08/2021,"Asian, NH",Fully Vaccinated,Any,42.1,"15,975",,2,2,NULL
05/15/2021,"Asian, NH",Fully Vaccinated,Any,46.3,"16,010",,2,2,NULL
05/22/2021,"Asian, NH",Fully Vaccinated,Any,50.4,"16,055",,2,2,NULL
05/29/2021,"Asian, NH",Fully Vaccinated,Any,53.5,"16,026",,2,2,NULL
06/05/2021,"Asian, NH",Fully Vaccinated,Any,56.2,"16,005",,2,2,NULL
06/12/2021,"Asian, NH",Fully Vaccinated,Any,59,"16,016",,2,2,NULL
06/19/2021,"Asian, NH",Fully Vaccinated,Any,61.2,"15,973",,2,2,NULL
06/26/2021,"Asian, NH",Fully Vaccinated,Any,63,"15,996",,2,2,NULL
07/03/2021,"Asian, NH",Fully Vaccinated,Any,64.7,"15,988",,2,2,NULL
07/10/2021,"Asian, NH",Fully Vaccinated,Any,66.4,"15,969",,2,2,NULL
07/17/2021,"Asian, NH",Fully Vaccinated,Any,67.8,"15,954",,2,2,NULL
07/24/2021,"Asian, NH",Fully Vaccinated,Any,69.2,"15,955",,2,2,NULL
07/31/2021,"Asian, NH",Fully Vaccinated,Any,70.5,"15,977",,2,2,NULL
08/07/2021,"Asian, NH",Fully Vaccinated,Any,71.9,"16,023",,2,2,NULL
08/14/2021,"Asian, NH",Fully Vaccinated,Any,73.4,"15,997",,2,2,NULL
08/21/2021,"Asian, NH",Fully Vaccinated,Any,74.8,"16,005",,2,2,NULL
08/28/2021,"Asian, NH",Fully Vaccinated,Any,76.2,"15,919",,2,2,NULL
09/04/2021,"Asian, NH",Fully Vaccinated,Any,77.4,"15,926",,2,2,NULL
09/11/2021,"Asian, NH",Fully Vaccinated,Any,79.2,"15,896",,2,2,NULL
09/18/2021,"Asian, NH",Fully Vaccinated,Any,80.9,"15,913",,2,2,NULL
09/25/2021,"Asian, NH",Fully Vaccinated,Any,82.3,"15,891",,2,2,NULL
02/04/2023,"Black, NH",Fully Vaccinated,Any,58.6,"7,463",,3,2,NULL
02/11/2023,"Black, NH",Fully Vaccinated,Any,58.5,"7,408",,3,2,NULL
02/18/2023,"Black, NH",Fully Vaccinated,Any,58.4,"7,362",,3,2,NULL
02/25/2023,"Black, NH",Fully Vaccinated,Any,58.4,"7,308",,3,2,NULL
03/04/2023,"Black, NH",Fully Vaccinated,Any,58.7,"7,263",,3,2,NULL
03/11/2023,"Black, NH",Fully Vaccinated,Any,58.4,"7,219",,3,2,NULL
03/18/2023,"Black, NH",Fully Vaccinated,Any,58.6,"7,136",,3,2,NULL
03/25/2023,"Black, NH",Fully Vaccinated,Any,58.9,"7,025",,3,2,NULL
04/01/2023,"Black, NH",Fully Vaccinated,Any,58.9,"6,879",,3,2,NULL
02/11/2023,Hispanic/Latino,Fully Vaccinated,Any,70.9,"35,916",,4,2,NULL
02/18/2023,Hispanic/Latino,Fully Vaccinated,Any,70.9,"35,815",,4,2,NULL
02/25/2023,Hispanic/Latino,Fully Vaccinated,Any,71,"35,610",,4,2,NULL
03/04/2023,Hispanic/Latino,Fully Vaccinated,Any,71,"35,364",,4,2,NULL
03/11/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"35,032",,4,2,NULL
03/18/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"34,699",,4,2,NULL
03/25/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"34,364",,4,2,NULL
04/01/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"33,827",,4,2,NULL
04/08/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"33,296",,4,2,NULL
04/15/2023,Hispanic/Latino,Fully Vaccinated,Any,71.2,"32,539",,4,2,NULL
04/22/2023,Hispanic/Latino,Fully Vaccinated,Any,71.2,"31,649",,4,2,NULL
04/29/2023,Hispanic/Latino,Fully Vaccinated,Any,71.2,"30,682",,4,2,NULL
05/06/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"29,669",,4,2,NULL
05/13/2023,Hispanic/Latino,Fully Vaccinated,Any,71.2,"28,508",,4,2,NULL
05/20/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"27,364",,4,2,NULL
05/27/2023,Hispanic/Latino,Fully Vaccinated,Any,71.2,"26,212",,4,2,NULL
06/03/2023,Hispanic/Latino,Fully Vaccinated,Any,71.1,"25,186",,4,2,NULL
01/09/2021,"Other, NH",Fully Vaccinated,Any,0.3,"4,862",,5,2,NULL
01/16/2021,"Other, NH",Fully Vaccinated,Any,0.9,"4,870",,5,2,NULL
01/23/2021,"Other, NH",Fully Vaccinated,Any,1.3,"4,838",,5,2,NULL
01/30/2021,"Other, NH",Fully Vaccinated,Any,2.1,"4,854",,5,2,NULL
02/06/2021,"Other, NH",Fully Vaccinated,Any,2.8,"4,885",,5,2,NULL
02/13/2021,"Other, NH",Fully Vaccinated,Any,3.9,"4,892",,5,2,NULL
02/20/2021,"Other, NH",Fully Vaccinated,Any,4.7,"4,889",,5,2,NULL
02/27/2021,"Other, NH",Fully Vaccinated,Any,5.5,"4,862",,5,2,NULL
03/06/2021,"Other, NH",Fully Vaccinated,Any,6.7,"4,845",,5,2,NULL
03/13/2021,"Other, NH",Fully Vaccinated,Any,8.2,"4,865",,5,2,NULL
03/20/2021,"Other, NH",Fully Vaccinated,Any,9.7,"4,878",,5,2,NULL
03/27/2021,"Other, NH",Fully Vaccinated,Any,11.9,"4,855",,5,2,NULL
04/03/2021,"Other, NH",Fully Vaccinated,Any,13.9,"4,840",,5,2,NULL
04/10/2021,"Other, NH",Fully Vaccinated,Any,16.6,"4,862",,5,2,NULL
04/17/2021,"Other, NH",Fully Vaccinated,Any,19.4,"4,848",,5,2,NULL
04/24/2021,"Other, NH",Fully Vaccinated,Any,23,"4,813",,5,2,NULL
05/01/2021,"Other, NH",Fully Vaccinated,Any,25.7,"4,796",,5,2,NULL
05/08/2021,"Other, NH",Fully Vaccinated,Any,28.9,"4,798",,5,2,NULL
05/15/2021,"Other, NH",Fully Vaccinated,Any,31.7,"4,815",,5,2,NULL
05/22/2021,"Other, NH",Fully Vaccinated,Any,34.1,"4,828",,5,2,NULL
05/29/2021,"Other, NH",Fully Vaccinated,Any,36.1,"4,814",,5,2,NULL
06/05/2021,"Other, NH",Fully Vaccinated,Any,38,"4,818",,5,2,NULL
06/12/2021,"Other, NH",Fully Vaccinated,Any,40.2,"4,825",,5,2,NULL
06/19/2021,"Other, NH",Fully Vaccinated,Any,41.8,"4,816",,5,2,NULL
06/26/2021,"Other, NH",Fully Vaccinated,Any,42.9,"4,831",,5,2,NULL
07/03/2021,"Other, NH",Fully Vaccinated,Any,44,"4,834",,5,2,NULL
07/10/2021,"Other, NH",Fully Vaccinated,Any,45.1,"4,831",,5,2,NULL
07/17/2021,"Other, NH",Fully Vaccinated,Any,46.1,"4,851",,5,2,NULL
07/24/2021,"Other, NH",Fully Vaccinated,Any,47.2,"4,837",,5,2,NULL
07/31/2021,"Other, NH",Fully Vaccinated,Any,48.4,"4,820",,5,2,NULL
08/07/2021,"Other, NH",Fully Vaccinated,Any,49.4,"4,814",,5,2,NULL
08/14/2021,"Other, NH",Fully Vaccinated,Any,50.1,"4,788",,5,2,NULL
08/21/2021,"Other, NH",Fully Vaccinated,Any,51.6,"4,783",,5,2,NULL
08/28/2021,"Other, NH",Fully Vaccinated,Any,52.8,"4,770",,5,2,NULL
09/04/2021,"Other, NH",Fully Vaccinated,Any,54.1,"4,759",,5,2,NULL
09/11/2021,"Other, NH",Fully Vaccinated,Any,55.9,"4,762",,5,2,NULL
09/18/2021,"Other, NH",Fully Vaccinated,Any,58.2,"4,751",,5,2,NULL
09/25/2021,"Other, NH",Fully Vaccinated,Any,59.8,"4,748",,5,2,NULL
10/02/2021,"Other, NH",Fully Vaccinated,Any,61.1,"4,731",,5,2,NULL
10/09/2021,"Other, NH",Fully Vaccinated,Any,62,"4,731",,5,2,NULL
10/16/2021,"Other, NH",Fully Vaccinated,Any,63,"4,713",,5,2,NULL
10/23/2021,"Other, NH",Fully Vaccinated,Any,63.7,"4,742",,5,2,NULL
10/30/2021,"Other, NH",Fully Vaccinated,Any,64.1,"4,736",,5,2,NULL
11/06/2021,"Other, NH",Fully Vaccinated,Any,64.9,"4,750",,5,2,NULL
11/13/2021,"Other, NH",Fully Vaccinated,Any,65.6,"4,790",,5,2,NULL
11/20/2021,"Other, NH",Fully Vaccinated,Any,66.1,"4,806",,5,2,NULL
11/27/2021,"Other, NH",Fully Vaccinated,Any,66.3,"4,824",,5,2,NULL
12/04/2021,"Other, NH",Fully Vaccinated,Any,67,"4,837",,5,2,NULL
12/11/2021,"Other, NH",Fully Vaccinated,Any,67.2,"4,844",,5,2,NULL
12/18/2021,"Other, NH",Fully Vaccinated,Any,67.3,"4,879",,5,2,NULL
12/25/2021,"Other, NH",Fully Vaccinated,Any,67.7,"4,900",,5,2,NULL
01/01/2022,"Other, NH",Fully Vaccinated,Any,67.7,"4,885",,5,2,NULL
01/08/2022,"Other, NH",Fully Vaccinated,Any,68.1,"4,889",,5,2,NULL
01/15/2022,"Other, NH",Fully Vaccinated,Any,68.7,"4,900",,5,2,NULL
01/22/2022,"Other, NH",Fully Vaccinated,Any,69,"4,894",,5,2,NULL
10/02/2021,"Asian, NH",Fully Vaccinated,Any,83,"15,871",,2,2,NULL
10/09/2021,"Asian, NH",Fully Vaccinated,Any,83.8,"15,898",,2,2,NULL
10/16/2021,"Asian, NH",Fully Vaccinated,Any,84.5,"15,905",,2,2,NULL
10/23/2021,"Asian, NH",Fully Vaccinated,Any,85.3,"15,903",,2,2,NULL
10/30/2021,"Asian, NH",Fully Vaccinated,Any,85.8,"15,878",,2,2,NULL
11/06/2021,"Asian, NH",Fully Vaccinated,Any,86.6,"15,895",,2,2,NULL
11/13/2021,"Asian, NH",Fully Vaccinated,Any,87,"15,879",,2,2,NULL
11/20/2021,"Asian, NH",Fully Vaccinated,Any,87.4,"15,848",,2,2,NULL
11/27/2021,"Asian, NH",Fully Vaccinated,Any,87.8,"15,889",,2,2,NULL
12/04/2021,"Asian, NH",Fully Vaccinated,Any,88.2,"15,904",,2,2,NULL
12/11/2021,"Asian, NH",Fully Vaccinated,Any,88.5,"15,834",,2,2,NULL
12/18/2021,"Asian, NH",Fully Vaccinated,Any,88.8,"15,836",,2,2,NULL
12/25/2021,"Asian, NH",Fully Vaccinated,Any,89,"15,819",,2,2,NULL
01/01/2022,"Asian, NH",Fully Vaccinated,Any,89.2,"15,867",,2,2,NULL
01/08/2022,"Asian, NH",Fully Vaccinated,Any,89.4,"15,893",,2,2,NULL
01/15/2022,"Asian, NH",Fully Vaccinated,Any,89.5,"15,970",,2,2,NULL
01/22/2022,"Asian, NH",Fully Vaccinated,Any,89.6,"15,989",,2,2,NULL
01/29/2022,"Asian, NH",Fully Vaccinated,Any,89.9,"16,046",,2,2,NULL
02/05/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"16,099",,2,2,NULL
02/12/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"16,089",,2,2,NULL
02/19/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"16,046",,2,2,NULL
02/26/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"16,015",,2,2,NULL
03/05/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"16,024",,2,2,NULL
03/12/2022,"Asian, NH",Fully Vaccinated,Any,90.3,"16,018",,2,2,NULL
03/19/2022,"Asian, NH",Fully Vaccinated,Any,90.3,"16,070",,2,2,NULL
03/26/2022,"Asian, NH",Fully Vaccinated,Any,90.3,"16,025",,2,2,NULL
04/02/2022,"Asian, NH",Fully Vaccinated,Any,90.3,"15,965",,2,2,NULL
04/09/2022,"Asian, NH",Fully Vaccinated,Any,90.3,"15,914",,2,2,NULL
04/16/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,934",,2,2,NULL
04/23/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,908",,2,2,NULL
04/30/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,861",,2,2,NULL
05/07/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,861",,2,2,NULL
05/14/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,852",,2,2,NULL
05/21/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,817",,2,2,NULL
05/28/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,817",,2,2,NULL
06/04/2022,"Asian, NH",Fully Vaccinated,Any,90.2,"15,759",,2,2,NULL
06/11/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"15,715",,2,2,NULL
06/18/2022,"Asian, NH",Fully Vaccinated,Any,90,"15,696",,2,2,NULL
06/25/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"15,705",,2,2,NULL
07/02/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"15,720",,2,2,NULL
07/09/2022,"Asian, NH",Fully Vaccinated,Any,90.1,"15,730",,2,2,NULL
07/16/2022,"Asian, NH",Fully Vaccinated,Any,90,"15,720",,2,2,NULL
07/23/2022,"Asian, NH",Fully Vaccinated,Any,90,"15,708",,2,2,NULL
07/30/2022,"Asian, NH",Fully Vaccinated,Any,89.9,"15,756",,2,2,NULL
08/06/2022,"Asian, NH",Fully Vaccinated,Any,89.9,"15,762",,2,2,NULL
08/13/2022,"Asian, NH",Fully Vaccinated,Any,89.8,"15,717",,2,2,NULL
08/20/2022,"Asian, NH",Fully Vaccinated,Any,89.7,"15,698",,2,2,NULL
08/27/2022,"Asian, NH",Fully Vaccinated,Any,89.7,"15,710",,2,2,NULL
09/03/2022,"Asian, NH",Fully Vaccinated,Any,89.7,"15,675",,2,2,NULL
09/10/2022,"Asian, NH",Fully Vaccinated,Any,89.5,"15,612",,2,2,NULL
09/17/2022,"Asian, NH",Fully Vaccinated,Any,89.5,"15,550",,2,2,NULL
09/24/2022,"Asian, NH",Fully Vaccinated,Any,89.4,"15,500",,2,2,NULL
10/01/2022,"Asian, NH",Fully Vaccinated,Any,89.4,"15,506",,2,2,NULL
10/08/2022,"Asian, NH",Fully Vaccinated,Any,89.5,"15,436",,2,2,NULL
10/15/2022,"Asian, NH",Fully Vaccinated,Any,89.4,"15,417",,2,2,NULL
10/22/2022,"Asian, NH",Fully Vaccinated,Any,89.3,"15,368",,2,2,NULL
10/29/2022,"Asian, NH",Fully Vaccinated,Any,89.2,"15,336",,2,2,NULL
11/05/2022,"Asian, NH",Fully Vaccinated,Any,89.1,"15,336",,2,2,NULL
11/12/2022,"Asian, NH",Fully Vaccinated,Any,89.1,"15,301",,2,2,NULL
11/19/2022,"Asian, NH",Fully Vaccinated,Any,89.2,"15,217",,2,2,NULL
11/26/2022,"Asian, NH",Fully Vaccinated,Any,89.1,"15,161",,2,2,NULL
12/03/2022,"Asian, NH",Fully Vaccinated,Any,89.2,"15,160",,2,2,NULL
12/10/2022,"Asian, NH",Fully Vaccinated,Any,89.1,"15,106",,2,2,NULL
12/17/2022,"Asian, NH",Fully Vaccinated,Any,89.1,"15,087",,2,2,NULL
01/29/2022,"Other, NH",Fully Vaccinated,Any,69.3,"4,921",,5,2,NULL
02/05/2022,"Other, NH",Fully Vaccinated,Any,69.6,"4,964",,5,2,NULL
02/12/2022,"Other, NH",Fully Vaccinated,Any,70.2,"4,968",,5,2,NULL
02/19/2022,"Other, NH",Fully Vaccinated,Any,70.3,"4,957",,5,2,NULL
02/26/2022,"Other, NH",Fully Vaccinated,Any,70.4,"4,945",,5,2,NULL
03/05/2022,"Other, NH",Fully Vaccinated,Any,70.3,"4,942",,5,2,NULL
03/12/2022,"Other, NH",Fully Vaccinated,Any,70.4,"4,944",,5,2,NULL
03/19/2022,"Other, NH",Fully Vaccinated,Any,70.7,"4,955",,5,2,NULL
03/26/2022,"Other, NH",Fully Vaccinated,Any,70.4,"4,971",,5,2,NULL
04/02/2022,"Other, NH",Fully Vaccinated,Any,70.7,"4,973",,5,2,NULL
04/09/2022,"Other, NH",Fully Vaccinated,Any,70.6,"4,968",,5,2,NULL
04/16/2022,"Other, NH",Fully Vaccinated,Any,70.9,"4,928",,5,2,NULL
04/23/2022,"Other, NH",Fully Vaccinated,Any,70.8,"4,919",,5,2,NULL
04/30/2022,"Other, NH",Fully Vaccinated,Any,70.8,"4,916",,5,2,NULL
05/07/2022,"Other, NH",Fully Vaccinated,Any,70.6,"4,916",,5,2,NULL
05/14/2022,"Other, NH",Fully Vaccinated,Any,70.8,"4,926",,5,2,NULL
05/21/2022,"Other, NH",Fully Vaccinated,Any,71.1,"4,946",,5,2,NULL
05/28/2022,"Other, NH",Fully Vaccinated,Any,71.2,"4,950",,5,2,NULL
06/04/2022,"Other, NH",Fully Vaccinated,Any,71.4,"4,950",,5,2,NULL
06/11/2022,"Other, NH",Fully Vaccinated,Any,71.8,"4,947",,5,2,NULL
06/18/2022,"Other, NH",Fully Vaccinated,Any,71.6,"4,961",,5,2,NULL
06/25/2022,"Other, NH",Fully Vaccinated,Any,71.7,"4,967",,5,2,NULL
07/02/2022,"Other, NH",Fully Vaccinated,Any,71.5,"4,999",,5,2,NULL
07/09/2022,"Other, NH",Fully Vaccinated,Any,71.7,"4,996",,5,2,NULL
07/16/2022,"Other, NH",Fully Vaccinated,Any,71.6,"5,009",,5,2,NULL
07/23/2022,"Other, NH",Fully Vaccinated,Any,71.7,"5,020",,5,2,NULL
07/30/2022,"Other, NH",Fully Vaccinated,Any,72,"5,035",,5,2,NULL
08/06/2022,"Other, NH",Fully Vaccinated,Any,72.1,"5,012",,5,2,NULL
08/13/2022,"Other, NH",Fully Vaccinated,Any,71.8,"5,014",,5,2,NULL
08/20/2022,"Other, NH",Fully Vaccinated,Any,71.8,"5,025",,5,2,NULL
08/27/2022,"Other, NH",Fully Vaccinated,Any,71.7,"5,018",,5,2,NULL
09/03/2022,"Other, NH",Fully Vaccinated,Any,71.6,"5,000",,5,2,NULL
09/10/2022,"Other, NH",Fully Vaccinated,Any,71.6,"4,964",,5,2,NULL
09/17/2022,"Other, NH",Fully Vaccinated,Any,71.6,"4,978",,5,2,NULL
09/24/2022,"Other, NH",Fully Vaccinated,Any,71.9,"4,991",,5,2,NULL
10/01/2022,"Other, NH",Fully Vaccinated,Any,71.9,"5,021",,5,2,NULL
10/08/2022,"Other, NH",Fully Vaccinated,Any,71.9,"5,019",,5,2,NULL
10/15/2022,"Other, NH",Fully Vaccinated,Any,71.7,"5,057",,5,2,NULL
10/22/2022,"Other, NH",Fully Vaccinated,Any,71.6,"5,107",,5,2,NULL
10/29/2022,"Other, NH",Fully Vaccinated,Any,71.6,"5,145",,5,2,NULL
11/05/2022,"Other, NH",Fully Vaccinated,Any,71.8,"5,210",,5,2,NULL
11/12/2022,"Other, NH",Fully Vaccinated,Any,72,"5,210",,5,2,NULL
11/19/2022,"Other, NH",Fully Vaccinated,Any,71.7,"5,249",,5,2,NULL
11/26/2022,"Other, NH",Fully Vaccinated,Any,71.3,"5,194",,5,2,NULL
12/03/2022,"Other, NH",Fully Vaccinated,Any,71.4,"5,189",,5,2,NULL
12/10/2022,"Other, NH",Fully Vaccinated,Any,71.1,"5,163",,5,2,NULL
12/17/2022,"Other, NH",Fully Vaccinated,Any,71.4,"5,167",,5,2,NULL
12/24/2022,"Other, NH",Fully Vaccinated,Any,71.4,"5,166",,5,2,NULL
12/31/2022,"Other, NH",Fully Vaccinated,Any,71.4,"5,124",,5,2,NULL
01/07/2023,"Other, NH",Fully Vaccinated,Any,71.1,"5,133",,5,2,NULL
01/14/2023,"Other, NH",Fully Vaccinated,Any,71.1,"5,141",,5,2,NULL
01/21/2023,"Other, NH",Fully Vaccinated,Any,71.1,"5,174",,5,2,NULL
01/28/2023,"Other, NH",Fully Vaccinated,Any,70.9,"5,162",,5,2,NULL
02/04/2023,"Other, NH",Fully Vaccinated,Any,71,"5,147",,5,2,NULL
02/11/2023,"Other, NH",Fully Vaccinated,Any,70.9,"5,122",,5,2,NULL
02/18/2023,"Other, NH",Fully Vaccinated,Any,70.9,"5,088",,5,2,NULL
02/25/2023,"Other, NH",Fully Vaccinated,Any,71.2,"5,097",,5,2,NULL
03/04/2023,"Other, NH",Fully Vaccinated,Any,71.3,"5,101",,5,2,NULL
03/11/2023,"Other, NH",Fully Vaccinated,Any,71.2,"5,065",,5,2,NULL
03/18/2023,"Other, NH",Fully Vaccinated,Any,70.9,"5,022",,5,2,NULL
03/25/2023,"Other, NH",Fully Vaccinated,Any,71,"4,935",,5,2,NULL
04/01/2023,"Other, NH",Fully Vaccinated,Any,71.5,"4,870",,5,2,NULL
04/08/2023,"Other, NH",Fully Vaccinated,Any,71.6,"4,790",,5,2,NULL
04/15/2023,"Other, NH",Fully Vaccinated,Any,71.6,"4,705",,5,2,NULL
04/22/2023,"Other, NH",Fully Vaccinated,Any,71.6,"4,580",,5,2,NULL
04/29/2023,"Other, NH",Fully Vaccinated,Any,71.6,"4,426",,5,2,NULL
05/06/2023,"Other, NH",Fully Vaccinated,Any,71.6,"4,256",,5,2,NULL
05/13/2023,"Other, NH",Fully Vaccinated,Any,71.7,"4,104",,5,2,NULL
05/20/2023,"Other, NH",Fully Vaccinated,Any,71.5,"3,931",,5,2,NULL
05/27/2023,"Other, NH",Fully Vaccinated,Any,71.7,"3,785",,5,2,NULL
06/03/2023,"Other, NH",Fully Vaccinated,Any,71.6,"3,627",,5,2,NULL
01/09/2021,"White, NH",Fully Vaccinated,Any,0.3,"36,132",,6,2,NULL
01/16/2021,"White, NH",Fully Vaccinated,Any,0.9,"36,284",,6,2,NULL
